subcatchment_id,lat,lon
1.0,-38.13228586141931,145.1239221376265
2.0,-38.063173738644295,145.18339448181612
3.0,-38.081877852200925,145.14838327829233
4.0,-38.061058447460915,145.18376122487837
5.0,-38.15020528463431,145.11445214895767
6.0,-38.10900472925652,145.12525724986037
7.0,-38.11788474458277,145.1264826433692
8.0,-38.10905936843032,145.12752739249575
9.0,-38.08296252862488,145.1459501417722
10.0,-38.123293371909426,145.12587787957543
11.0,-38.05361699848297,145.1852525449256
12.0,-38.04958632842083,145.1860570151723
13.0,-38.063206468557695,145.18274437248115
14.0,-38.1178667431707,145.12573068105536
15.0,-38.09828043447045,145.12755878935744
16.0,-38.135917443222844,145.1227327623279
17.0,-38.11789749066676,145.12483240880093
18.0,-38.057625071193634,145.18437863323732
19.0,-38.14095048636,145.12076354920015
20.0,-38.150657311738684,145.1151835372147
21.0,-38.115683240055645,145.1249355383803
22.0,-38.1258495880232,145.1254436239146
23.0,-38.11580818677926,145.12675998775433
24.0,-38.08283711787767,145.12977661093706
25.0,-38.08269185448296,145.14103747909442
26.0,-38.152110331929094,145.11502838620314
27.0,-38.152984809786304,145.11248122409967
28.0,-38.123256688542796,145.12413764318939
29.0,-38.131977164280514,145.1224831308852
30.0,-38.12327723040457,145.12506036176663
31.0,-38.10137633896271,145.12755498306882
32.0,-38.06077330651198,145.1832020628722
33.0,-38.083426842934216,145.12697180047076
34.0,-38.12574315287874,145.12467583417418
35.0,-38.13214085932867,145.12335271297553
36.0,-38.140570817489596,145.1719429662206
37.0,-38.13449169332696,145.1501895052109
38.0,-38.15854453005719,145.13567273426716
39.0,-38.11554300326657,145.12586080504028
40.0,-38.12065650989389,145.12531996642514
41.0,-38.12577331946066,145.12380654249742
42.0,-38.10762682221786,145.1539899358413
43.0,-38.161917508724194,145.15439213738145
44.0,-38.05736661466967,145.18385103689045
45.0,-38.09494184300351,145.12610524943588
46.0,-38.10905766553216,145.1263556569804
47.0,-38.12045496473632,145.12612041227376
48.0,-38.14477233543274,145.1180169923559
49.0,-38.09198591901903,145.12607632225095
50.0,-38.145699444051665,145.11796636896696
51.0,-38.10297640383543,145.15939509224614
52.0,-38.15192435707199,145.11356253312493
53.0,-38.153662266990395,145.11416359180015
54.0,-38.163440082766044,145.12987240428575
55.0,-38.12901588739566,145.12417642462935
56.0,-38.13534750592335,145.12242733246788
57.0,-38.14968566644429,145.12957646588427
58.0,-38.12043558290579,145.12450454221735
59.0,-38.14324844400416,145.13406745597885
60.0,-38.1120461843886,145.12707849967126
61.0,-38.1291055894155,145.12495891384026
62.0,-38.15577053265739,145.12974489970748
63.0,-38.083048275493965,145.13502278900273
64.0,-38.10174059749199,145.1253849074951
65.0,-38.112183492295024,145.1250988542675
66.0,-38.15233357494539,145.13140479848136
67.0,-38.09192207595872,145.12495493985693
68.0,-38.094953394867105,145.12518396326354
69.0,-38.09843055893007,145.12533834320135
70.0,-38.05332878771519,145.1846795079314
71.0,-38.10939552485912,145.12869947942997
72.0,-38.10576581850865,145.12531587326478
73.0,-38.10962076573538,145.18998601798833
74.0,-38.16240283190267,145.1524683546325
75.0,-38.152816059450316,145.13369071394962
76.0,-38.17080909464263,145.13814252948202
77.0,-38.128964586521874,145.12332515498127
78.0,-38.048878510008265,145.18558059761347
79.0,-38.10631404878265,145.1275565263181
80.0,-38.11270598865283,145.15166747745783
81.0,-38.08987400304809,145.1350063631608
82.0,-38.09187830912675,145.12728933445538
83.0,-38.16338676746087,145.15407374730663
84.0,-38.10181854640432,145.1265621204751
85.0,-38.1094458197423,145.17452224380418
86.0,-38.104150788262324,145.13936454582768
87.0,-38.14627855019115,145.1589784546009
88.0,-38.09491646064784,145.12722340877988
89.0,-38.11965973165685,145.19939945058798
90.0,-38.13572061028353,145.1215244601889
91.0,-38.1714862626353,145.13991372654843
92.0,-38.15116126059606,145.13238779609958
93.0,-38.1199081175424,145.18676693025984
94.0,-38.09240527987818,145.18588886866556
95.0,-38.164394075021,145.13576773890455
96.0,-38.16814761153601,145.136885095607
97.0,-38.10626855601088,145.15868514297355
98.0,-38.14188471331822,145.13123678269116
99.0,-38.06859943732705,145.18349229652
100.0,-38.11765130402264,145.1667458342737
101.0,-38.168880287989694,145.1392051403469
102.0,-38.108715817322974,145.16562347759427
103.0,-38.09833615024026,145.12660483046358
104.0,-38.11498355179475,145.1646063674252
105.0,-38.14712860852794,145.18703893487512
106.0,-38.13531741425901,145.1533830521677
107.0,-38.07062815061514,145.18186069865217
108.0,-38.06433425405494,145.1924189415603
109.0,-38.10586255212782,145.12854774014937
110.0,-38.15226946478698,145.1581330725932
111.0,-38.1123929898526,145.12609341531984
112.0,-38.09719318960438,145.13355589128253
113.0,-38.145729987750855,145.13917471261138
114.0,-38.143993392681836,145.13698073667035
115.0,-38.1159599951702,145.155708095508
116.0,-38.14804345310682,145.11613294618104
117.0,-38.0941671485765,145.14830711076976
118.0,-38.11411145367826,145.16053032975807
119.0,-38.067620104358525,145.18152674205396
120.0,-38.168889152383684,145.1413197938801
121.0,-38.12126177321452,145.1426422143558
122.0,-38.10840300146323,145.15569981335867
123.0,-38.162118267225544,145.19782464925626
124.0,-38.14166927775165,145.2125679144168
125.0,-38.1141628509745,145.19244369470687
126.0,-38.087495937531415,145.12562484402523
127.0,-38.15296638878428,145.11708168900557
128.0,-38.14182932493103,145.13457020129596
129.0,-38.1154158307091,145.1331297689588
130.0,-38.10575247339148,145.12639546413612
131.0,-38.16600777986175,145.16972934233945
132.0,-38.083203959228044,145.12543215019147
133.0,-38.15247784592519,145.1694188742352
134.0,-38.159955978442916,145.15752700499357
135.0,-38.15403418609959,145.1307111367788
136.0,-38.150137704973666,145.1586139762852
137.0,-38.140599306911206,145.12009399268123
138.0,-38.15774052799929,145.12936077481183
139.0,-38.16196433856878,145.14981612765132
140.0,-38.12133310401998,145.14702208622418
141.0,-38.11380308053537,145.1538568663411
142.0,-38.149500159044685,145.18650864396838
143.0,-38.123081682361665,145.19690717585303
144.0,-38.08774207767855,145.12687793499734
145.0,-38.104436777492474,145.15739715338728
146.0,-38.13684879194107,145.1531839186069
147.0,-38.10721358669883,145.16279556862807
148.0,-38.14784751001434,145.12943057236362
149.0,-38.13697377812438,145.137673939405
150.0,-38.08762904280893,145.12438559865038
151.0,-38.14681727686292,145.12006221080097
152.0,-38.164637752145,145.1509868214223
153.0,-38.15648531355045,145.1502991744329
154.0,-38.12512216940622,145.14197466105105
155.0,-38.1469378118752,145.1269274859436
156.0,-38.09427373201477,145.14602178136454
157.0,-38.11208141972381,145.19216817411183
158.0,-38.1265805629346,145.13846452255436
159.0,-38.119337063020275,145.17201962239423
160.0,-38.083458162487624,145.1770555463122
161.0,-38.13901841312316,145.20359024691362
162.0,-38.138488058150756,145.20887681882695
163.0,-38.136847627818106,145.1592017212335
164.0,-38.16055747091471,145.15249916550502
165.0,-38.062821749402914,145.18979173880507
166.0,-38.15880183782446,145.14310128300585
167.0,-38.124518433409094,145.16224810334992
168.0,-38.15706198041399,145.1265732472604
169.0,-38.06336380232882,145.18685424790294
170.0,-38.112634867313346,145.17210604459962
171.0,-38.12086994581673,145.16354779925214
172.0,-38.136196653519804,145.14962678575736
173.0,-38.14538900645771,145.17115246811767
174.0,-38.09180749907785,145.18991169107568
175.0,-38.11664036049191,145.15337079791533
176.0,-38.13864240600554,145.1988315979184
177.0,-38.15996056818168,145.12192442699305
178.0,-38.09969693109608,145.13306826787823
179.0,-38.148406879199804,145.19303195401417
180.0,-38.14323872350696,145.21336553176414
181.0,-38.10038509867177,145.1654830666713
182.0,-38.14821458842591,145.13800894987196
183.0,-38.13817783917389,145.1568190526309
184.0,-38.15538165669359,145.1158206057814
185.0,-38.10282795737727,145.1624530955705
186.0,-38.14560867987524,145.1221206241015
187.0,-38.10174724039259,145.12940966691227
188.0,-38.157377822768616,145.1574712170429
189.0,-38.119174251438615,145.14978498231318
190.0,-38.14243922244192,145.17128289717274
191.0,-38.13438625678776,145.1642157269759
192.0,-38.07038567818026,145.19159904830633
193.0,-38.11321829586903,145.18861029855594
194.0,-38.09109285324886,145.1705589097035
195.0,-38.12306739118051,145.19441651754522
196.0,-38.0932505315975,145.15925845929524
197.0,-38.042331320984296,145.1960607388933
198.0,-38.110250586832244,145.16386496147686
199.0,-38.09562764436851,145.15828794199325
200.0,-38.14153083272877,145.13810330379872
201.0,-38.16431626849095,145.1941394213267
202.0,-38.09261777441571,145.1752406306125
203.0,-38.09330611442292,145.16737066557502
204.0,-38.13744606919376,145.20641772502682
205.0,-38.125228274286,145.1360016268591
206.0,-38.147315159058564,145.1560668760028
207.0,-38.10373504116603,145.14953594159277
208.0,-38.1535380791811,145.1670859033201
209.0,-38.163022089865194,145.14709379750448
210.0,-38.136331808645785,145.20373075031424
211.0,-38.157860879160324,145.13853843737735
212.0,-38.123359995555724,145.13894856376174
213.0,-38.11612113185883,145.1360892119546
214.0,-38.15745600599361,145.1181977170836
215.0,-38.166409255633745,145.1440805126728
216.0,-38.066056258117584,145.1974942009196
217.0,-38.16117853870303,145.13003326451408
218.0,-38.08417445900951,145.12942930971735
219.0,-38.13446249325043,145.1349204386048
220.0,-38.096405452583205,145.1472123113741
221.0,-38.1533971235838,145.14856758225875
222.0,-38.15396371644362,145.14030227646256
223.0,-38.122982588737464,145.16591600414884
224.0,-38.087836306142066,145.16984197151277
225.0,-38.11830430199451,145.1747254027917
226.0,-38.08659358084717,145.173049052403
227.0,-38.10858852729431,145.15920989607375
228.0,-38.13904301378446,145.14867519002263
229.0,-38.12207024516563,145.1508117357893
230.0,-38.1523761218925,145.1651326131418
231.0,-38.15503535995965,145.15825864283144
232.0,-38.09686850793001,145.16273435049033
233.0,-38.16021175052489,145.11951441202433
234.0,-38.108701879483796,145.1836810643045
235.0,-38.10506164307999,145.1618900164361
236.0,-38.16538244182459,145.13856346018952
237.0,-38.139604450703494,145.13437850589574
238.0,-38.10685786876051,145.16883991562028
239.0,-38.116254326939774,145.129918390872
240.0,-38.14601257796796,145.1905729333475
241.0,-38.14892982965179,145.13651398466877
242.0,-38.10904046905045,145.13182791027117
243.0,-38.164561484448484,145.19818309701725
244.0,-38.13132642022938,145.14009322125128
245.0,-38.15572405455449,145.13375743878385
246.0,-38.14265265408462,145.18632713986327
247.0,-38.11747527812809,145.16041020174947
248.0,-38.06710719885378,145.18585854018963
249.0,-38.09211864380304,145.13033726775978
250.0,-38.10855097336477,145.19473790925392
251.0,-38.165223387728055,145.14149450316063
252.0,-38.098477471447275,145.12981295144604
253.0,-38.10307776282636,145.14505843320066
254.0,-38.164344791074775,145.15940150384597
255.0,-38.14391202538478,145.1522936917562
256.0,-38.15864859577008,145.12521304933364
257.0,-38.13952398425326,145.16186535350306
258.0,-38.06159856949413,145.18874047560536
259.0,-38.0887349269478,145.13290050114713
260.0,-38.145704904012426,145.19424185391205
261.0,-38.167951326830284,145.20205091996934
262.0,-38.164765580671535,145.2024764234046
263.0,-38.1075120755329,145.1369300340341
264.0,-38.100843068005474,145.14175732403854
265.0,-38.13694690060009,145.13384417947142
266.0,-38.15107490997046,145.1280470156832
267.0,-38.1684354089255,145.14638226610276
268.0,-38.11997700159778,145.1544542172827
269.0,-38.09433423489496,145.16302897040686
270.0,-38.140810753312344,145.19541026093
271.0,-38.09366764864043,145.13391541599813
272.0,-38.10801863792658,145.1791468136677
273.0,-38.14867249700687,145.17000342036312
274.0,-38.09521205998362,145.13015097933464
275.0,-38.10739219704222,145.18963883744257
276.0,-38.12256050780365,145.1554053472933
277.0,-38.10652639550784,145.1323171675966
278.0,-38.075375396963686,145.20440497199013
279.0,-38.15408498038319,145.12681994532693
280.0,-38.11936710718401,145.1427861939652
281.0,-38.10670968931329,145.14944937125784
282.0,-38.06964307477851,145.18645090311827
283.0,-38.14974355665712,145.19105807046918
284.0,-38.157837881832016,145.16995172272405
285.0,-38.16119399595768,145.1380045783459
286.0,-38.101786728786564,145.19972939287416
287.0,-38.14291371076396,145.19034067965836
288.0,-38.148166727968494,145.13260716209413
289.0,-38.11297708851417,145.14838579479616
290.0,-38.103407503321186,145.13159999653567
291.0,-38.08930932056373,145.16677234341208
292.0,-38.15348377319576,145.18455866374632
293.0,-38.090199517528426,145.17521238624815
294.0,-38.10406232006154,145.13608681713802
295.0,-38.06395048855505,145.19756470254225
296.0,-38.06512143352605,145.18847014127329
297.0,-38.144991270874534,145.1836781375016
298.0,-38.141045243072824,145.20951849252515
299.0,-38.13636195971979,145.17112713956982
300.0,-38.13484648339959,145.15993489277668
301.0,-38.13045504445105,145.14257322834922
302.0,-38.09304960477462,145.17989442849893
303.0,-38.09748631851926,145.18727655889046
304.0,-38.13968187831045,145.12991205119812
305.0,-38.094340539823534,145.18452261053181
306.0,-38.08678636772605,145.14902650877113
307.0,-38.14974697606425,145.11811807779264
308.0,-38.1524043947078,145.12244585104526
309.0,-38.13958617965714,145.1685429333937
310.0,-38.15338684976133,145.15354919384086
311.0,-38.09636095967322,145.13726744925788
312.0,-38.11516846896713,145.14161054217143
313.0,-38.090065702729795,145.14380372594135
314.0,-38.15889466238211,145.13287713145937
315.0,-38.120907212145816,145.13841968252754
316.0,-38.12347831062478,145.1451862567026
317.0,-38.14380678389752,145.12846709807422
318.0,-38.14515574644976,145.1332933245382
319.0,-38.16101863280919,145.1870294178132
320.0,-38.13501083172721,145.2012524782943
321.0,-38.131230664252534,145.16184621674174
322.0,-38.08789666375999,145.1292128349913
323.0,-38.15481605072171,145.19795470436074
324.0,-38.13734448238769,145.16513423581267
325.0,-38.17074450463395,145.19876740197853
326.0,-38.16205324702764,145.12591089070415
327.0,-38.16787137993342,145.19749375884948
328.0,-38.105188057602206,145.14357001402612
329.0,-38.13298839712051,145.12725718382413
330.0,-38.116349343058914,145.17659298053385
331.0,-38.147845260712295,145.18336565091778
332.0,-38.13243021807991,145.1720991928663
333.0,-38.127996917852165,145.16406051781493
334.0,-38.09748407909442,145.14081096681196
335.0,-38.12202901706215,145.1902955973955
336.0,-38.1447989275235,145.16617077821408
337.0,-38.104943690507696,145.15392107582358
338.0,-38.0887923138222,145.1903757750847
339.0,-38.15862214330665,145.1973552492766
340.0,-38.14930145489639,145.15443602418816
341.0,-38.07142014493452,145.19916803825268
342.0,-38.11690045692243,145.1633571789257
343.0,-38.14962141798608,145.15085418044626
344.0,-38.1006601669386,145.13687740573639
345.0,-38.058151003895595,145.18682121207752
346.0,-38.160410532852936,145.16305110760658
347.0,-38.126731557979646,145.149794108314
348.0,-38.12952374453207,145.13573649773872
349.0,-38.11753034128181,145.14233882638038
350.0,-38.152407075977756,145.18908596286315
351.0,-38.125298629494246,145.15238408487065
352.0,-38.09392537747811,145.1428825442794
353.0,-38.088840486410135,145.13895460718268
354.0,-38.12057385395495,145.16872222908782
355.0,-38.09223665646948,145.13767192424788
356.0,-38.162860078900415,145.19121491169864
357.0,-38.11280295263607,145.12977021055403
358.0,-38.12391895556553,145.13075759403208
359.0,-38.11017207074628,145.15352017255384
360.0,-38.11830328909306,145.18280903952385
361.0,-38.14924833573116,145.12375541897995
362.0,-38.15493148362152,145.1207366473877
363.0,-38.14605067400587,145.20626775476129
364.0,-38.101196327842686,145.15510150404648
365.0,-38.09477442742608,145.15520541826902
366.0,-38.15684780323741,145.15355291020398
367.0,-38.110741224785755,145.18613569377783
368.0,-38.1096870960247,145.14815505986607
369.0,-38.124684220735276,145.17069601191054
370.0,-38.125278534486306,145.18933767109283
371.0,-38.14741250729821,145.20912922445882
372.0,-38.115698158827456,145.18646127102832
373.0,-38.15707342233522,145.2104413697467
374.0,-38.08496037386341,145.14097912504616
375.0,-38.10820825797997,145.14267881734818
376.0,-38.1514500832086,145.14571836521748
377.0,-38.13279105874629,145.13218826570784
378.0,-38.133517546155524,145.16797005165492
379.0,-38.142305955151215,145.16530279705037
380.0,-38.1615385540684,145.14270214647013
381.0,-38.15004770190619,145.14136556901974
382.0,-38.145210455914,145.222992569602
383.0,-38.139606257432746,145.1444797919047
384.0,-38.08571837943695,145.1451770725484
385.0,-38.129838708878935,145.12815133923698
386.0,-38.13889004633945,145.17508985117271
387.0,-38.158817561298385,145.1483311205216
388.0,-38.0580808709542,145.20191525948928
389.0,-38.11581202491747,145.16925966513443
390.0,-38.10826468695311,145.17238467963244
391.0,-38.13236183931661,145.14862670478095
392.0,-38.09753014365593,145.1980304605493
393.0,-38.141443570914106,145.14147058396117
394.0,-38.15935291454324,145.19233740413625
395.0,-38.04648373847799,145.19220681540446
396.0,-38.13466122301033,145.13948347713315
397.0,-38.15393575826673,145.13669682679856
398.0,-38.14631667348726,145.14323270175407
399.0,-38.09757252116934,145.1766890098751
400.0,-38.09462293228441,145.19093225525666
401.0,-38.135831196879586,145.14428628834474
402.0,-38.113004204664364,145.18196977764418
403.0,-38.15581038178946,145.2073031243124
404.0,-38.12160520398592,145.18362424854539
405.0,-38.171755058805566,145.1437726072964
406.0,-38.16441650238868,145.17238366891965
407.0,-38.151523074111786,145.20033517674995
408.0,-38.15586166412797,145.14395108958112
409.0,-38.09074715764712,145.1489855232
410.0,-38.09740730769885,145.16874287669827
411.0,-38.14253080146487,145.21761743171277
412.0,-38.06396294172816,145.20551162516418
413.0,-38.13313244767976,145.15563600362913
414.0,-38.0608714181764,145.19987364033386
415.0,-38.15662649539569,145.18702898872255
416.0,-38.17379796556753,145.1560576270752
417.0,-38.11851517899953,145.13182986408626
418.0,-38.115883694353045,145.14829330014274
419.0,-38.129846113100825,145.15429697391136
420.0,-38.085291083746824,145.1351360980131
421.0,-38.043804566755504,145.1891423252945
422.0,-38.16765727111554,145.1492879476336
423.0,-38.1015332727579,145.19501745627173
424.0,-38.11202654696953,145.16821800576446
425.0,-38.0798507602017,145.20562133932697
426.0,-38.121247973766316,145.13115485346452
427.0,-38.12676301834034,145.12979461446878
428.0,-38.07110841311788,145.20598282041988
429.0,-38.14247057233675,145.15793930819822
430.0,-38.154507012579316,145.19327916771147
431.0,-38.15308045258541,145.18008284749448
432.0,-38.16703556716957,145.154663519118
433.0,-38.1468003104811,145.16407032815542
434.0,-38.1406934880943,145.1533433663675
435.0,-38.09773092327401,145.18212315540916
436.0,-38.11148017460007,145.13539630604328
437.0,-38.16857211548968,145.18176974207225
438.0,-38.146010940928385,145.1745172912328
439.0,-38.152075542797,145.21221955240972
440.0,-38.096606888683844,145.1513547947736
441.0,-38.12006319636822,145.15892799311
442.0,-38.09491021795356,145.17229920345258
443.0,-38.18092572033167,145.1879977882019
444.0,-38.090907981933164,145.16134333794707
445.0,-38.0998214726128,145.16036527616384
446.0,-38.12815148421067,145.1677716732993
447.0,-38.11212156553206,145.15943436989383
448.0,-38.1486368333684,145.17896264783283
449.0,-38.158805189155416,145.1814353460398
450.0,-38.11192078435887,145.14118055045398
451.0,-38.16764550589747,145.15910551432924
452.0,-38.07880321582448,145.18355083699305
453.0,-38.16382922373788,145.16163436650854
454.0,-38.09940820993743,145.19021968755644
455.0,-38.154508044654676,145.2204028250962
456.0,-38.14459471969615,145.19780529450568
457.0,-38.12671825857737,145.1587941588544
458.0,-38.115758534897836,145.19774921894557
459.0,-38.054134929319105,145.1987683660147
460.0,-38.1003865464728,145.14805572017355
461.0,-38.13671600859356,145.1259478356509
462.0,-38.06050241720018,145.21049982938388
463.0,-38.11158747550329,145.19671347961136
464.0,-38.06818395754355,145.19296770347395
465.0,-38.14997274690509,145.16183863431982
466.0,-38.10236023297403,145.16793557747843
467.0,-38.14844641646308,145.20033667293595
468.0,-38.15255491288633,145.17364980845062
469.0,-38.08731890331414,145.17837933622235
470.0,-38.13041179931186,145.1998872549576
471.0,-38.16335671625524,145.16717769614164
472.0,-38.12839163053297,145.14483573095742
473.0,-38.067453879863294,145.20171081123206
474.0,-38.072727820261534,145.1879233169264
475.0,-38.1269548627331,145.19672244850832
476.0,-38.17231336342612,145.1513362683962
477.0,-38.15673152452167,145.16349327572456
478.0,-38.14208328717405,145.20291071637
479.0,-38.112506223253,145.17670304561528
480.0,-38.17345584547193,145.1904910312615
481.0,-38.075731380788746,145.18606845557144
482.0,-38.14912480647093,145.2205852634945
483.0,-38.153906440217725,145.20416617726536
484.0,-38.08266216084037,145.1824741909151
485.0,-38.089068456517815,145.18445363291352
486.0,-38.16786481919264,145.19135734450148
487.0,-38.144725646453566,145.14787615060126
488.0,-38.14214699806111,145.1237715073773
489.0,-38.160524133334754,145.2028423629041
490.0,-38.168425280184564,145.17689066801182
491.0,-38.059259550709925,145.19303550584038
492.0,-38.16534003122998,145.18489218447957
493.0,-38.0838307182697,145.18904707257917
