Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%,station_id,lat,lon
2 min,2,2.64,2.91,3.81,4.45,5.1,5.81,6.38,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
3 min,3,3.56,3.93,5.16,6.04,6.93,7.98,8.82,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
4 min,4,4.33,4.8,6.34,7.44,8.57,9.98,11.1,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
5 min,5,5.0,5.56,7.37,8.68,10.0,11.8,13.2,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
10 min,10,7.41,8.27,11.1,13.2,15.3,18.3,20.8,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
15 min,15,9.02,10.1,13.5,16.1,18.7,22.5,25.6,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
20 min,20,10.2,11.4,15.3,18.2,21.1,25.4,28.9,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
25 min,25,11.2,12.5,16.7,19.8,23.0,27.6,31.3,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
30 min,30,12.1,13.4,17.9,21.2,24.6,29.4,33.2,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
45 min,45,14.1,15.6,20.7,24.3,28.1,33.3,37.4,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
1 hour,60,15.6,17.3,22.7,26.7,30.7,36.1,40.4,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
1.5 hour,90,18.0,19.8,25.9,30.2,34.6,40.4,44.9,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
2 hour,120,19.9,21.9,28.4,33.1,37.7,43.8,48.7,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
3 hour,180,22.8,25.1,32.5,37.7,42.8,49.7,55.1,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
4.5 hour,270,26.2,28.8,37.4,43.2,49.0,57.0,63.3,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
6 hour,360,28.8,31.8,41.3,47.8,54.3,63.4,70.6,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
9 hour,540,32.9,36.4,47.7,55.4,63.1,74.3,83.2,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
12 hour,720,36.0,40.0,52.8,61.6,70.4,83.6,94.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
18 hour,1080,40.7,45.4,60.7,71.4,82.3,98.5,111.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
24 hour,1440,44.1,49.4,66.6,79.0,91.6,110.0,125.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
30 hour,1800,46.8,52.5,71.3,85.0,99.1,120.0,136.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
36 hour,2160,49.0,55.0,75.1,89.9,105.0,127.0,145.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
48 hour,2880,52.6,59.0,81.0,97.5,115.0,139.0,158.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
72 hour,4320,57.8,64.7,88.7,107.0,127.0,152.0,173.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
96 hour,5760,61.8,68.9,93.7,113.0,133.0,159.0,180.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
120 hour,7200,65.3,72.5,97.4,116.0,136.0,162.0,183.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
144 hour,8640,68.5,75.8,100.0,118.0,137.0,164.0,184.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
168 hour,10080,71.7,79.0,103.0,120.0,138.0,164.0,185.0,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
1 min,1,1.55,1.72,2.29,2.7,3.12,3.72,4.2,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
2 min,2,2.64,2.9,3.78,4.41,5.04,5.74,6.3,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
3 min,3,3.54,3.91,5.12,5.99,6.85,7.88,8.7,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
4 min,4,4.31,4.77,6.28,7.37,8.46,9.85,11.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
5 min,5,4.98,5.52,7.3,8.58,9.89,11.6,13.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
10 min,10,7.38,8.22,11.0,13.0,15.1,18.1,20.5,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
15 min,15,8.98,10.0,13.4,15.9,18.4,22.2,25.3,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
20 min,20,10.2,11.4,15.2,18.0,20.9,25.1,28.5,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
25 min,25,11.2,12.4,16.6,19.6,22.8,27.3,30.9,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
30 min,30,12.0,13.4,17.8,21.0,24.3,29.0,32.8,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
45 min,45,14.0,15.5,20.5,24.1,27.8,32.9,37.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
1 hour,60,15.5,17.1,22.5,26.4,30.3,35.6,39.9,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
1.5 hour,90,17.9,19.7,25.6,29.9,34.2,39.8,44.3,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
2 hour,120,19.7,21.6,28.1,32.6,37.2,43.1,47.9,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
3 hour,180,22.5,24.7,32.0,37.0,42.0,48.7,54.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
4.5 hour,270,25.7,28.3,36.5,42.2,47.9,55.7,61.8,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
6 hour,360,28.2,31.1,40.3,46.5,52.8,61.7,68.7,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
9 hour,540,32.0,35.4,46.2,53.7,61.1,72.0,80.6,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
12 hour,720,34.9,38.7,51.0,59.5,67.9,80.6,90.7,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
18 hour,1080,39.2,43.8,58.4,68.6,79.1,94.7,107.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
24 hour,1440,42.4,47.5,63.9,75.7,87.8,106.0,120.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
30 hour,1800,45.0,50.4,68.3,81.4,94.9,115.0,130.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
36 hour,2160,47.1,52.8,71.9,86.1,101.0,122.0,139.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
48 hour,2880,50.4,56.5,77.5,93.3,110.0,133.0,151.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
72 hour,4320,55.3,61.9,84.9,103.0,121.0,146.0,166.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
96 hour,5760,59.1,65.9,89.6,108.0,127.0,152.0,172.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
120 hour,7200,62.4,69.3,93.0,111.0,130.0,156.0,176.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
144 hour,8640,65.5,72.3,95.6,113.0,132.0,157.0,177.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
168 hour,10080,68.4,75.2,97.7,114.0,132.0,157.0,177.0,depths_-38.20847_145.19919_ifds,-38.20847,145.19919
