Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%
1 min,1,1.56,1.74,2.31,2.73,3.17,3.79,4.29
2 min,2,2.65,2.92,3.8,4.45,5.07,5.82,6.42
3 min,3,3.57,3.94,5.15,6.04,6.91,8,8.87
4 min,4,4.35,4.81,6.33,7.44,8.55,10,11.2
5 min,5,5.03,5.57,7.37,8.67,10,11.8,13.3
10 min,10,7.48,8.32,11.1,13.2,15.3,18.4,21
15 min,15,9.11,10.1,13.6,16.1,18.7,22.6,25.8
20 min,20,10.3,11.5,15.4,18.2,21.2,25.5,29.1
25 min,25,11.3,12.6,16.8,19.9,23.1,27.8,31.6
30 min,30,12.2,13.5,18,21.2,24.7,29.5,33.5
45 min,45,14.1,15.6,20.6,24.3,28.1,33.4,37.7
1 hour,60,15.6,17.3,22.7,26.6,30.7,36.2,40.7
1.5 hour,90,17.9,19.8,25.8,30.1,34.5,40.4,45.2
2 hour,120,19.7,21.7,28.2,32.8,37.5,43.8,48.8
3 hour,180,22.6,24.8,32.1,37.3,42.4,49.4,55
4.5 hour,270,25.8,28.4,36.8,42.6,48.4,56.6,63
6 hour,360,28.3,31.2,40.6,47,53.5,62.7,70
9 hour,540,32.2,35.7,46.8,54.4,62.1,73.4,82.2
12 hour,720,35.3,39.2,51.8,60.5,69.3,82.3,92.6
18 hour,1080,39.8,44.5,59.6,70.2,81,96.9,110
24 hour,1440,43.2,48.5,65.6,77.7,90.2,108,123
30 hour,1800,45.9,51.6,70.3,83.8,97.7,118,134
36 hour,2160,48.2,54.2,74.2,88.8,104,125,142
48 hour,2880,51.7,58.2,80.2,96.5,113,136,155
72 hour,4320,56.8,63.8,87.9,106,125,150,170
96 hour,5760,60.6,67.8,92.6,111,132,157,177
120 hour,7200,63.7,70.9,95.7,114,135,161,181
144 hour,8640,66.5,73.7,97.8,116,136,162,182
168 hour,10080,69.1,76.2,99.5,116,136,162,182
