Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%
1 min,1,1.56,1.74,2.35,2.79,3.26,3.92,4.46
2 min,2,2.67,2.95,3.89,4.58,5.26,6.08,6.74
3 min,3,3.59,3.98,5.26,6.21,7.15,8.33,9.28
4 min,4,4.37,4.85,6.46,7.63,8.82,10.4,11.7
5 min,5,5.04,5.6,7.5,8.88,10.3,12.2,13.8
10 min,10,7.46,8.33,11.3,13.4,15.7,19.1,21.8
15 min,15,9.08,10.2,13.8,16.4,19.2,23.4,26.8
20 min,20,10.3,11.5,15.6,18.6,21.8,26.5,30.3
25 min,25,11.3,12.6,17,20.3,23.8,28.8,32.9
30 min,30,12.2,13.6,18.3,21.7,25.4,30.7,35
45 min,45,14.2,15.8,21,25,29,34.7,39.4
1 hour,60,15.7,17.4,23.1,27.3,31.7,37.6,42.5
1.5 hour,90,18.1,20,26.3,30.9,35.6,41.9,47
2 hour,120,19.9,22,28.8,33.6,38.6,45.3,50.7
3 hour,180,22.8,25.1,32.7,38,43.5,50.8,56.7
4.5 hour,270,26,28.6,37.2,43.2,49.3,57.7,64.3
6 hour,360,28.4,31.4,40.9,47.5,54.1,63.5,71
9 hour,540,32.2,35.7,46.8,54.5,62.2,73.5,82.4
12 hour,720,35.1,39.1,51.6,60.2,68.9,81.8,92.1
18 hour,1080,39.4,44,58.9,69.2,79.7,95.4,108
24 hour,1440,42.6,47.7,64.4,76.2,88.3,106,120
30 hour,1800,45.1,50.6,68.8,81.9,95.2,115,130
36 hour,2160,47.1,53,72.4,86.5,101,122,138
48 hour,2880,50.4,56.7,77.9,93.7,110,132,150
72 hour,4320,55.1,61.9,85.2,103,121,145,165
96 hour,5760,58.7,65.7,89.8,108,127,152,172
120 hour,7200,61.7,68.8,92.8,111,131,156,175
144 hour,8640,64.5,71.5,95.1,112,132,157,177
168 hour,10080,67.1,74,96.8,113,132,158,177
