Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%
1 min,1,1.55,1.72,2.29,2.7,3.12,3.72,4.2
2 min,2,2.64,2.9,3.78,4.41,5.04,5.74,6.3
3 min,3,3.54,3.91,5.12,5.99,6.85,7.88,8.7
4 min,4,4.31,4.77,6.28,7.37,8.46,9.85,11
5 min,5,4.98,5.52,7.3,8.58,9.89,11.6,13
10 min,10,7.38,8.22,11,13,15.1,18.1,20.5
15 min,15,8.98,10,13.4,15.9,18.4,22.2,25.3
20 min,20,10.2,11.4,15.2,18,20.9,25.1,28.5
25 min,25,11.2,12.4,16.6,19.6,22.8,27.3,30.9
30 min,30,12,13.4,17.8,21,24.3,29,32.8
45 min,45,14,15.5,20.5,24.1,27.8,32.9,37
1 hour,60,15.5,17.1,22.5,26.4,30.3,35.6,39.9
1.5 hour,90,17.9,19.7,25.6,29.9,34.2,39.8,44.3
2 hour,120,19.7,21.6,28.1,32.6,37.2,43.1,47.9
3 hour,180,22.5,24.7,32,37,42,48.7,54
4.5 hour,270,25.7,28.3,36.5,42.2,47.9,55.7,61.8
6 hour,360,28.2,31.1,40.3,46.5,52.8,61.7,68.7
9 hour,540,32,35.4,46.2,53.7,61.1,72,80.6
12 hour,720,34.9,38.7,51,59.5,67.9,80.6,90.7
18 hour,1080,39.2,43.8,58.4,68.6,79.1,94.7,107
24 hour,1440,42.4,47.5,63.9,75.7,87.8,106,120
30 hour,1800,45,50.4,68.3,81.4,94.9,115,130
36 hour,2160,47.1,52.8,71.9,86.1,101,122,139
48 hour,2880,50.4,56.5,77.5,93.3,110,133,151
72 hour,4320,55.3,61.9,84.9,103,121,146,166
96 hour,5760,59.1,65.9,89.6,108,127,152,172
120 hour,7200,62.4,69.3,93,111,130,156,176
144 hour,8640,65.5,72.3,95.6,113,132,157,177
168 hour,10080,68.4,75.2,97.7,114,132,157,177
