Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%
1 min,1,1.56,1.74,2.32,2.75,3.18,3.8,4.29
2 min,2,2.65,2.92,3.82,4.46,5.11,5.86,6.43
3 min,3,3.57,3.94,5.18,6.07,6.96,8.05,8.89
4 min,4,4.35,4.82,6.37,7.48,8.61,10.1,11.2
5 min,5,5.02,5.58,7.41,8.73,10.1,11.9,13.3
10 min,10,7.46,8.32,11.2,13.3,15.4,18.5,21
15 min,15,9.08,10.1,13.6,16.2,18.8,22.7,25.8
20 min,20,10.3,11.5,15.4,18.3,21.3,25.6,29.1
25 min,25,11.3,12.6,16.8,20,23.2,27.8,31.6
30 min,30,12.1,13.5,18,21.3,24.8,29.6,33.5
45 min,45,14.1,15.7,20.8,24.5,28.3,33.5,37.7
1 hour,60,15.7,17.3,22.8,26.8,30.9,36.4,40.8
1.5 hour,90,18.1,19.9,26,30.4,34.8,40.7,45.4
2 hour,120,19.9,22,28.6,33.3,38,44.2,49.2
3 hour,180,22.9,25.2,32.7,37.9,43.2,50.2,55.7
4.5 hour,270,26.3,29,37.6,43.6,49.5,57.7,64.1
6 hour,360,29,32.1,41.7,48.3,54.9,64.2,71.6
9 hour,540,33.2,36.9,48.3,56.2,64,75.4,84.6
12 hour,720,36.5,40.6,53.6,62.6,71.6,84.9,95.6
18 hour,1080,41.3,46.2,61.9,72.8,84,100,114
24 hour,1440,44.9,50.4,68.1,80.7,93.6,113,128
30 hour,1800,47.8,53.6,73,87,101,122,139
36 hour,2160,50.1,56.3,77,92.2,108,130,148
48 hour,2880,53.8,60.5,83.2,100,118,142,162
72 hour,4320,59.2,66.4,91.2,110,130,156,177
96 hour,5760,63.2,70.7,96.3,116,137,163,184
120 hour,7200,66.7,74.2,99.9,119,140,167,188
144 hour,8640,70,77.5,103,121,142,168,189
168 hour,10080,73.1,80.6,105,123,142,168,189
